GenePublicName,SequenceNameGene,SequenceNameTranscript,DC,OP50,Ratio_DCvsOP50,log2_Ratio_DCvsOP50,Infection_upregulated,Infection_downregulated
B0035.16,B0035.16,B0035.16,"0,064169","0,049405",1.298832706877,0.37721561978,,
B0035.18,B0035.18,B0035.18,"4,16174","1,97733",2.104727081468,1.07363317213,1,
B0035.1,B0035.1,B0035.1a,"5,33911","5,08974",1.048994644127,0.06900731194,,
B0035.1,B0035.1,B0035.1b,"4,47536","4,3661",1.025024621516,0.03565856428,,
dnj-2,B0035.2,B0035.2,"0,490213","0,573715",0.854453866467,-0.22692549464,,
B0035.3,B0035.3,B0035.3,"3,27658","3,24884",1.008538432179,0.01226606150,,
pfd-4,B0035.4,B0035.4.1,"2,69532","1,6707",1.613287843419,0.69000386765,,
pfd-4,B0035.4,B0035.4.2,"4,41091","2,4533",1.797949700404,0.84635266046,,
pfd-4,B0035.4,B0035.4.3,"2,69335","1,66815",1.614573030003,0.69115269808,,
B0035.5,B0035.5,B0035.5.1,"0,609253","0,811563",0.750715594476,-0.41366164274,,
B0035.5,B0035.5,B0035.5.2,"0,626453","0,838967",0.746695638803,-0.42140779012,,
B0035.6,B0035.6,B0035.6,"1,38605","1,58339",0.875368671016,-0.19203734328,,
his-47,B0035.7,B0035.7,nan,nan,,,,
his-48,B0035.8,B0035.8,"0,634173","0,271039",2.339785049384,1.22637599885,1,
his-46,B0035.9,B0035.9,nan,nan,,,,
B0041.1,B0041.1,B0041.1,"0,007509","0,002994",2.507935871743,1.32650045871,1,
B0041.2,B0041.2,B0041.2a.1,"3,27322","3,60196",0.908733023132,-0.13807158790,,
B0041.2,B0041.2,B0041.2a.2,"3,27214","3,60094",0.908690508589,-0.13813908512,,
B0041.2,B0041.2,B0041.2b,"2,20767","2,40676",0.917278831292,-0.12456774888,,
B0041.2,B0041.2,B0041.2c,"3,19439","3,53005",0.904913528137,-0.14414815737,,
B0041.3,B0041.3,B0041.3,"0,367851","0,260161",1.413935985793,0.49971680539,,
rpl-4,B0041.4,B0041.4.1,"103,057","123,486",0.834564242100,-0.26090498695,,
rpl-4,B0041.4,B0041.4.2,"103,863","121,156",0.857266664466,-0.22218405081,,
rpl-4,B0041.4,B0041.4.3,"103,414","124,91",0.827908093828,-0.27245747202,,
B0041.5,B0041.5,B0041.5,"1,31329","1,55202",0.846181105914,-0.24096162227,,
ptps-1,B0041.6,B0041.6a,"0,214329","0,155958",1.374273842958,0.45866950962,,
ptps-1,B0041.6,B0041.6b,"0,214837","0,156327",1.374279555035,0.45867550608,,
xnp-1,B0041.7,B0041.7,"0,713803","0,846672",0.843069098777,-0.24627721416,,
B0041.8,B0041.8,B0041.8.1,"1,80762","2,04249",0.885008004935,-0.17623759039,,
B0041.8,B0041.8,B0041.8.2,"2,14244","2,75623",0.777308134662,-0.36344148052,,
bath-20,B0047.1,B0047.1a,"0,02349","0,018543",1.266798973186,0.34118760309,,
bath-20,B0047.1,B0047.1b,"0,022679","0,018689",1.213448336749,0.27911268624,,
B0047.2,B0047.2,B0047.2,"0,04644","0,026034",1.783831019674,0.83497895684,,
bath-24,B0047.3,B0047.3,"0,113977","0,087173",1.307488026614,0.38679773498,,
math-1,B0047.4,B0047.4,"0,008731","0,016446",0.530868108549,-0.91357461950,,1
tsp-20,B0198.1,B0198.1,"0,046745","0,068467",0.682743118542,-0.55058522694,,
B0198.2,B0198.2,B0198.2,"0,029226","0,030476",0.958977421504,-0.06043124656,,
B0198.3,B0198.3,B0198.3,"0,030705","0,055223",0.556019730766,-0.84679201594,,1
B0205.10,B0205.10,B0205.10.1,"0,338414","0,307029",1.102221614245,0.14041432339,,
B0205.10,B0205.10,B0205.10.2,"0,337381","0,300155",1.124022588329,0.16867102821,,
B0205.11,B0205.11,B0205.11,"0,817747","0,96955",0.843429426022,-0.24566073887,,
B0205.12,B0205.12,B0205.12,"2,10199","1,22238",1.719588016820,0.78206296185,,
B0205.13,B0205.13,B0205.13,"0,024561","0,029875",0.822129836048,-0.28256184328,,
B0205.14,B0205.14,B0205.14,"0,015469","0,010422",1.484273048284,0.56975651593,,
B0205.1,B0205.1,B0205.1a,"0,64345","0,659947",0.975002538083,-0.03652212046,,
B0205.1,B0205.1,B0205.1b,"0,593799","0,602109",0.986198512230,-0.02005001848,,
srz-85,B0205.2,B0205.2a,"0,000912","0,000704",1.296845483710,0.37500659588,,
